Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website,URLPositivo,NellaHomepage,Significativo,EsitoRichiesta,CodiceRisposta
FRANCO ROMAGNOLI & C S.R.L.,1509060438.0,152010.0,Macerata,Marche,romagnoli.com,,,,SUCCESSO,200.0
SOCIETE' DE CUIR LES RIVES S.R.L.,1935480507.0,151100.0,Pisa,Toscana,www.lesrivesconceria.it,,,,SUCCESSO,200.0
CALZATURIFICIO MGT S.R.L.,900540675.0,152010.0,Teramo,Abruzzo,http://www.calzaturificiomgt.com,,,,SUCCESSO,200.0
ORICE - S.R.L.,482800505.0,151100.0,Pisa,Toscana,www.orice.com,,,,SUCCESSO,200.0
TACCHIFICIO VILLA CORTESE -S.R.L.,810970152.0,152020.0,Milano,Lombardia,tvcgroup.it,,,,SUCCESSO,200.0
CALZATURIFICIO VICTOR S.R.L.,4824570487.0,152000.0,Firenze,Toscana,www.calzaturificiovictor.it,,,,TIMEOUT,
VALLE ESINA - S.P.A.,91920439.0,151100.0,Macerata,Marche,valleesina.it,,,,SUCCESSO,200.0
STIL TRE SOCIETA' A RESPONSABILITA' LIMITATA,2906120239.0,152010.0,Verona,Veneto,www.esseutesse.it,,,,SUCCESSO,200.0
TACCHIFICIO PIENNE S.R.L.,1448610517.0,152020.0,Arezzo,Toscana,tacchificiopienne.it,,,,SUCCESSO,200.0
BELT SYSTEM SRL,3812350266.0,152010.0,Treviso,Veneto,www.beltsystem.it,,,,SUCCESSO,200.0
CONCERIA JOLLY S.P.A.,686900242.0,151100.0,Vicenza,Veneto,conceriajolly.it,,,,TIMEOUT,
LUNATIKA S.R.L.,1736630672.0,151209.0,Teramo,Abruzzo,http://www.lunatikabags.it,,,,SUCCESSO,200.0
PRINCIPE - S.P.A.,214410128.0,151209.0,Varese,Lombardia,www.principe.it,,,,ERRORE,
LOMAR LAVORAZIONE PELLI S.R.L.,2002810246.0,151100.0,Vicenza,Veneto,www.concerialomar.it,,,,SUCCESSO,200.0
CALZATURIFICIO MICHIELON S.R.L.,323640276.0,152010.0,Venezia,Veneto,www.lm-michielon.com,,,,SUCCESSO,200.0
FRAGO S.R.L.,168010437.0,152020.0,Macerata,Marche,moma.it,,,,SUCCESSO,200.0
3 C PELLETTERIE S.R.L.,5694190488.0,151209.0,Firenze,Toscana,http://www.3cpelletterie.it,,,,SUCCESSO,200.0
INDUSTRIA CONCIARIA MONTORSO S.R.L.,3488330246.0,151100.0,Vicenza,Veneto,www.industriaconciariamontorso.com,,,,ERRORE,
CONCERIA 3S S.R.L.,2149960508.0,151100.0,Pisa,Toscana,www.selispa.it,,,,SUCCESSO,200.0
SOLAZZO CALZATURE S.R.L.,2233530183.0,152010.0,Pavia,Lombardia,https://calzaturesolazzo.it,,,,SUCCESSO,200.0
SOLEDAN - S.R.L.,1427990401.0,152010.0,Forlì-Cesena,Emilia-Romagna,www.soledan.191.it,,,,ERRORE,
A22 SRL,3947580241.0,151100.0,Vicenza,Veneto,www.a22conceria.com,,,,SUCCESSO,200.0
FASHION STUDIOS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,6783060483.0,151209.0,Firenze,Toscana,www.fashionstudios.it,,,,SUCCESSO,200.0
DIKE SRL,5095250287.0,152010.0,Padova,Veneto,dike.works,,,,SUCCESSO,403.0
DON DIEGO S.R.L.,1517770432.0,152020.0,Macerata,Marche,www.dondiego.net,,,,SUCCESSO,200.0
REPTILIS SRL,1971480502.0,151100.0,Pisa,Toscana,http://www.reptilis.it,,,,SUCCESSO,200.0
GIFAL LORENZO MONTERISI S.R.L.,7783590727.0,152010.0,Bari,Puglia,lorenzo-mari.com,,,,SUCCESSO,200.0
CINTURIFICIO GP & MAX S.R.L.,7333400633.0,151209.0,Napoli,Campania,gpemax.com,,,,SUCCESSO,200.0
CALZATURIFICIO NADA DI DAVIDE GABRIELE E ANTONIO S.R.L.,165220633.0,152010.0,Napoli,Campania,www.nadacalzaturificio.it,,,,SUCCESSO,200.0
GALILEO S.R.L.,1914960503.0,151100.0,Pisa,Toscana,www.galileosrl.eu,,,,SUCCESSO,200.0
STADIUM S.R.L.,5143900487.0,151200.0,Firenze,Toscana,www.stadiumflorence.it,,,,SUCCESSO,200.0
CALZATURIFICIO MARCO S.R.L.,4246290482.0,152010.0,Firenze,Toscana,http://www.grigiarancio.it,,,,SUCCESSO,200.0
GARLAND S.R.L.,1152370522.0,151209.0,Siena,Toscana,www.garland74.it,,,,SUCCESSO,200.0
RICCOPLAST SOCIETA' A RESPONSABILITA' LIMITATA,1971390461.0,152010.0,Lucca,Toscana,www.riccoplast.it,,,,SUCCESSO,200.0
L.C.M. SRL,2918090156.0,152020.0,Milano,Lombardia,http://www.lcmsuolificio.it,,,,SUCCESSO,404.0
CONCERIA SAMANTA S.R.L.,1726540501.0,151100.0,Pisa,Toscana,http://www.samanta.com/,,,,SUCCESSO,200.0
CALZATURIFICIO ZOCAL S.R.L.,1297680280.0,152010.0,Padova,Veneto,www.zocal.com,,,,SUCCESSO,200.0
CONCERIA LIBERTY S.R.L.,1626240509.0,151100.0,Pisa,Toscana,http://www.libertytannery.it,,,,ERRORE,
SCAMOSCERIA DEL BRENTA S.R.L.- INDUSTRIA CONCIARIA,143640241.0,151100.0,Vicenza,Veneto,www.scabrenta.it,,,,SUCCESSO,200.0
SUOLIFICIO DICK - S.R.L.,1032870477.0,152010.0,Pistoia,Toscana,www.suolificiodick.it,,,,SUCCESSO,200.0
TM PRODUCTION SRL,2801190428.0,151209.0,Ancona,Marche,www.tmcorp.it,,,,SUCCESSO,200.0
LUSAR S.R.L.,1244070189.0,152010.0,Pavia,Lombardia,www.calzaturificiolusar.it,,,,SUCCESSO,200.0
UNION LEATHERS S.R.L. - SOCIETA' UNIPERSONALE,983800293.0,151100.0,Vicenza,Veneto,www.unionleathers.com,,,,SUCCESSO,200.0
CONCERIA SIRTE S.R.L.,1402720500.0,151100.0,Pisa,Toscana,www.conceriasirte.com,,,,SUCCESSO,200.0
THE SPLITS SRL,3753900244.0,151100.0,Vicenza,Veneto,www.oppellami.it,,,,SUCCESSO,200.0
ST. GERMAIN BOUTIQUE S.R.L.,1271710152.0,152000.0,Milano,Lombardia,www.guidopasquali.it,,,,SUCCESSO,200.0
CONCERIA ARNELLA SOCIETA' PER AZIONI,115270506.0,151100.0,Pisa,Toscana,www.arnella.it,,,,SUCCESSO,200.0
ARES INDUSTRY S.R.L.,2354750511.0,151209.0,Arezzo,Toscana,www.arespelletteria.com,,,,SUCCESSO,200.0
A MARE - S.R.L.,1742160433.0,152010.0,Ancona,Marche,www.amaresrl.it,,,,SUCCESSO,200.0
PROFESSIONE PELLI S.R.L.,3742950243.0,151100.0,Vicenza,Veneto,www.professionepelli.com,,,,SUCCESSO,200.0
TUSCANIA INDUSTRIA CONCIARIA S.P.A.,2156540482.0,151100.0,Pisa,Toscana,tuscaniaspa.it,,,,SUCCESSO,200.0
S.C.O.R.P.I.O. S.R.L.,1950510469.0,152010.0,Lucca,Toscana,www.scorpiosrl.it,,,,ERRORE,
GIERRE & SON S.R.L.,4468150653.0,152010.0,Napoli,Campania,gierreandson.com,,,,SUCCESSO,200.0
TARI S.P.A.,4763050632.0,151200.0,Napoli,Campania,www.conceria-tari.com,,,,SUCCESSO,503.0
APEMA S.R.L.,3303551216.0,152010.0,Caserta,Campania,lerre.com,,,,SUCCESSO,200.0
CALZATURIFICIO STATUS S.R.L.,1325250502.0,152010.0,Pisa,Toscana,www.calzaturificiostatus.it,,,,SUCCESSO,200.0
FP SPORT SRL,3935250260.0,152010.0,Treviso,Veneto,www.fpsport.it,,,,SUCCESSO,200.0
SHARON S.R.L.,7158970637.0,152010.0,Napoli,Campania,www.sharonsrl.it,,,,SUCCESSO,200.0
CONCERIA VICAR S.R.L.,1586540500.0,151100.0,Pisa,Toscana,www.vicar.it,,,,SUCCESSO,200.0
GRUPPO ZANELLATO S.R.L.,2721200240.0,151209.0,Vicenza,Veneto,www.zanellato.com,,,,SUCCESSO,200.0
CONCERIA NUVOLARI SOCIETA' BENEFIT SRL,2013190448.0,151100.0,Fermo,Marche,www.concerianuvolari.com,,,,SUCCESSO,200.0
CONCERIA NUOVA OVERLORD S.P.A.,928180504.0,151100.0,Pisa,Toscana,www.concerianuovaoverlord.com,,,,SUCCESSO,200.0
MAXIMA - S.R.L.,1883310284.0,152010.0,Padova,Veneto,www.maximaonline.it,,,,SUCCESSO,200.0
GIUSY S.R.L.,1404650440.0,152010.0,Fermo,Marche,www.giusy.com,,,,ERRORE,
TECNO STRA S.R.L.,795600279.0,152020.0,Padova,Veneto,www.tecnostra.it,,,,SUCCESSO,200.0
MANNI - S.R.L.,1804530440.0,152010.0,Fermo,Marche,www.laramanni.it,,,,SUCCESSO,200.0
ARIANNA S.R.L.,4132920234.0,151100.0,Verona,Veneto,www.ariannasrl.it,,,,SUCCESSO,200.0
PONECO S.R.L.,2665230401.0,152010.0,Rimini,Emilia-Romagna,www.podoline.it,,,,SUCCESSO,200.0
GHOUD VENICE S.R.L.,4455410276.0,152010.0,Venezia,Veneto,www.ghoud-venice.com,,,,SUCCESSO,200.0
CONCERIA IL PONTE S.R.L.,3227970484.0,151100.0,Firenze,Toscana,www.conceriailponte.it,,,,SUCCESSO,200.0
GIANNI FALCO S.R.L.,2215910262.0,152010.0,Treviso,Veneto,giannifalco.com,,,,SUCCESSO,200.0
EUROCONCIARIA S.R.L.,2917550242.0,151100.0,Vicenza,Veneto,www.euroconciaria.it,,,,SUCCESSO,200.0
BARRETT - S.R.L.,619520349.0,152010.0,Parma,Emilia-Romagna,http://www.barrett.it,,,,SUCCESSO,200.0
DANI E VOLPI S.R.L.,2290260500.0,151100.0,Pisa,Toscana,www.volpi.it,,,,SUCCESSO,503.0
ANNABELLA S.P.A.,301170445.0,152010.0,Fermo,Marche,www.annabellaspa.eu,,,,ERRORE,
CALZATURIFICIO VIA ROMA 15 SOCIETA' A RESPONSABILITA' LIMITATA IN SIGLA CALZATURIFICIO VIA ROMA 15 S.R.L.,3981260288.0,152010.0,Padova,Veneto,www.viaroma15.com,,,,SUCCESSO,200.0
CONCERIA MANGUSTA S.R.L.,1341340501.0,151100.0,Pisa,Toscana,conceriamangusta.it,,,,SUCCESSO,200.0
NUOVA ICOS SOCIETA' A RESPONSABILITA' LIMITATA,1690360647.0,151100.0,Avellino,Campania,www.nuovaicos.com,,,,SUCCESSO,200.0
CONCERIA PIETRO PRESOT S.R.L.,66320938.0,151100.0,Pordenone,Friuli-Venezia Giulia,www.conceriapresot.it,,,,SUCCESSO,200.0
CAM.PEL. S.R.L.,3261191211.0,151200.0,Napoli,Campania,www.campel.net,,,,SUCCESSO,200.0
CY CALZATURE SRL,4347520274.0,152020.0,Venezia,Veneto,cycalzature.com,,,,SUCCESSO,200.0
SUOLIFICIO NUOVA PIOVAN MARISA S.R.L.,3749440271.0,152020.0,Venezia,Veneto,www.suolificiopiovan.it,,,,SUCCESSO,200.0
FOGLIZZO LEATHER SOCIETA' A RESPONSABILITA' LIMITATA SIGLABILE FO GLIZZO LEATHER S.R.L.,9704610014.0,151100.0,Torino,Piemonte,http://www.foglizzo.com,,,,SUCCESSO,200.0
CALZATURIFICIO FRATELLI CAPPELLINI S.R.L.,107120479.0,152010.0,Pistoia,Toscana,http://www.calzaturecappellini.it,,,,SUCCESSO,200.0
IANNELLI S.R.L.,1619020512.0,152020.0,Arezzo,Toscana,www.solettificiojannelli.com,,,,SUCCESSO,200.0
CALZATURIFICIO MARY S.R.L.,373940444.0,152000.0,Fermo,Marche,www.lellabaldi.com,,,,SUCCESSO,200.0
DELLA PIA S.R.L.,7447270633.0,152010.0,Napoli,Campania,www.ucchiello.com,,,,SUCCESSO,200.0
NOVA SHOES - S.R.L.,924540420.0,152010.0,Macerata,Marche,http://www.novashoes.it,,,,TIMEOUT,
SIMONETTA ROSSI S.R.L.,2094850506.0,152010.0,Pisa,Toscana,www.simonettarossi.com,,,,SUCCESSO,200.0
CALZATURIFICIO MONTEBOVE S.R.L.,147670434.0,152010.0,Macerata,Marche,montebove.com,,,,SUCCESSO,200.0
CALZATURIFICIO ACCADEMIA S.R.L.,1603170273.0,152010.0,Venezia,Veneto,http://www.accademiashoes.it,,,,TIMEOUT,
CONCERIA PAGNI S.R.L.,5177080487.0,151100.0,Pisa,Toscana,conceriapagni.it,,,,SUCCESSO,200.0
CALZATURIFICIO MARCOS - S.R.L.,92910439.0,152010.0,Macerata,Marche,www.calzaturificiomarcos.it,,,,SUCCESSO,200.0
CALZATURIFICIO BETTIO S.R.L.,618220289.0,152010.0,Venezia,Veneto,www.bettiosrl.it,,,,SUCCESSO,200.0
CALZATURIFICIO EXPORTACC SRL,1275070231.0,152010.0,Verona,Veneto,www.exportacc.it,,,,ERRORE,
CONCERIA UPIMAR - S.R.L.,1134360500.0,151100.0,Firenze,Toscana,conceriaupimar.it,,,,SUCCESSO,200.0
DIVINA S.R.L.,3340611213.0,152010.0,Napoli,Campania,www.divinasrl.com,,,,SUCCESSO,200.0
PAMI' S.R.L.,1324930518.0,152020.0,Arezzo,Toscana,www.pamisrl.com,,,,SUCCESSO,200.0
PARABIAGO COLLEZIONI SRL,12778540158.0,152010.0,Milano,Lombardia,www.thierryrabotin.shop,,,,SUCCESSO,200.0
SUOLIFICIO ARS-SUOLA S.R.L.,458300506.0,152020.0,Pisa,Toscana,www.ars-suola.it,,,,SUCCESSO,200.0
ARMOND S.R.L.,4418100261.0,152010.0,Treviso,Veneto,shop.armond.com,,,,SUCCESSO,200.0
R.E.G. SRL,1036510475.0,152010.0,Pistoia,Toscana,www.regshoes.it,,,,SUCCESSO,200.0
CONCERIA DS DAVID SYSTEM S.R.L.,3626130243.0,151100.0,Vicenza,Veneto,http://www.conceriads.it,,,,SUCCESSO,200.0
BLACKBOARD SRL,5706920963.0,152010.0,Milano,Lombardia,blackboard.it,,,,SUCCESSO,200.0
DIMAR CONCERIA S.R.L.,3357690241.0,151100.0,Vicenza,Veneto,dimar.com,,,,SUCCESSO,200.0
NORD PELLAMI S.R.L.,1821940242.0,151200.0,Vicenza,Veneto,nordpellami.com,,,,SUCCESSO,200.0
CB PELLETTERIE SRL,725360242.0,151209.0,Vicenza,Veneto,www.cb-pelletterie.com,,,,SUCCESSO,200.0
PROSPERINE S.R.L.,1469510513.0,152010.0,Arezzo,Toscana,www.prosperine.it,,,,SUCCESSO,200.0
C.P. LEATHERS S.R.L.,4317580241.0,151100.0,Vicenza,Veneto,www.cpleathers.com,,,,SUCCESSO,200.0
CONCERIA DELLA NEVE SOCIETA' A RESPONSABILITA' LIMITATA IN ABBREVIAZIONE CONCERIA DELLA NEVE S.R.L.,611640640.0,151100.0,Avellino,Campania,www.conceriadellaneve.it,,,,SUCCESSO,200.0
VERDE RANA - SOCIETA' A RESPONSABILITA' LIMITATA IN FORMA ABBREVI ATA VERDE RANA - S.R.L.,5586830480.0,151209.0,Firenze,Toscana,www.verderana.it,,,,SUCCESSO,200.0
CALZATURIFICIO SALA SRL,2267130181.0,152010.0,Pavia,Lombardia,www.salacalzature.it,,,,SUCCESSO,200.0
SANDRO VICARI S.R.L.,1873070278.0,152010.0,Venezia,Veneto,www.sandrovicari.it,,,,SUCCESSO,200.0
MICMAR - S.R.L.,7828990635.0,152010.0,Napoli,Campania,www.micmarshoes.it,,,,SUCCESSO,200.0
CONCERIA CARLI S.P.A.,1033020502.0,151100.0,Pisa,Toscana,www.carliconc.net,,,,ERRORE,
SABIS - BISCONTI S.R.L.,1940530445.0,152010.0,Fermo,Marche,http://www.rossanobisconti.it,,,,ERRORE,
IL VELIERO S.R.L.,2050490503.0,152020.0,Pisa,Toscana,www.solettificioilveliero-calcinaia.it,,,,SUCCESSO,200.0
CRISTIAN S.R.L.,527590483.0,151209.0,Firenze,Toscana,www.cristianspa.com,,,,SUCCESSO,503.0
CALZATURIFICIO SILVANO SASSETTI SRL,1496450444.0,152010.0,Fermo,Marche,www.silvanosassetti.it,,,,SUCCESSO,200.0
CALZATURIFICIO NAPOLEONI S.R.L.,909360430.0,152010.0,Macerata,Marche,www.napoleoni.it,,,,SUCCESSO,200.0
MONTELPARE SRL,1567510449.0,152010.0,Fermo,Marche,www.andreamontelpare.com,,,,SUCCESSO,200.0
CALANDRINI S.R.L.,592071203.0,151200.0,Bologna,Emilia-Romagna,www.calandrini.it,,,,SUCCESSO,200.0
AFG SRL,1884410430.0,152010.0,Macerata,Marche,www.afgitaly.com,,,,SUCCESSO,200.0
SABATINI CALZATURE S.R.L.,2572540546.0,152010.0,Perugia,Umbria,www.sabatinicalzature.com,,,,SUCCESSO,200.0
CONCERIA EMMEDUE SRL,793250242.0,151100.0,Vicenza,Veneto,www.conceriaemmedue.com,,,,TIMEOUT,
BELTRAME LUCIANO S.R.L.,2336530288.0,152020.0,Padova,Veneto,beltrameluciano.com,,,,SUCCESSO,200.0
ADLER DI MARANA LINO & C. S.R.L.,1274040243.0,151100.0,Vicenza,Veneto,http://www.adler-chemicals.com,,,,TIMEOUT,
ANNA ROSSI S.R.L.,3527110161.0,151209.0,Bergamo,Lombardia,anna-rossi.it/language/it,,,,SUCCESSO,500.0
CALZATURIFICIO SUSIMODA S.R.L. IN FORMA BREVE SUSIMODA S.R.L.,1574680243.0,152000.0,Vicenza,Veneto,www.susimoda.it,,,,SUCCESSO,200.0
MORELLINO S.R.L.,202870507.0,151100.0,Pisa,Toscana,morellinopelli.it,,,,SUCCESSO,200.0
OLTREDONNA S.R.L.,8646931009.0,151209.0,Teramo,Abruzzo,oltredonna.com,,,,SUCCESSO,200.0
SOLETTIFICIO VIGNA S.R.L.,964400295.0,152020.0,Rovigo,Veneto,solettificiovigna.com,,,,TIMEOUT,
ERRE EMME SUOLE SRL,1163930439.0,152020.0,Macerata,Marche,www.rmsuole.com,,,,SUCCESSO,200.0
MAROCCHINERIE E SCAMOSCERIE ITALIANE - SOCIETA' A RESPONSABILITA' LIMITATA,475740015.0,151100.0,Torino,Piemonte,www.mesi.it,,,,SUCCESSO,200.0
SOLETTIFICIO COMPAGNONE SRL,7338670156.0,152020.0,Milano,Lombardia,www.solettificiocompagnone.it,,,,SUCCESSO,503.0
CALZ. MARIA LUISA S.R.L.,346570443.0,152010.0,Fermo,Marche,www.marialuisa.info,,,,SUCCESSO,200.0
PINEIDER 1774 S.R.L.,9561740961.0,151209.0,Firenze,Toscana,www.pineider.com,,,,SUCCESSO,200.0
TERI S.R.L. IN LIQUIDAZIONE,949690184.0,152020.0,Pavia,Lombardia,http://www.apcsrl.it,,,,SUCCESSO,503.0
B & C COMPANY S.R.L.,6613030482.0,151209.0,Firenze,Toscana,www.becpelletterie.it,,,,ERRORE,
PREFINITI SIMON S.R.L.,1746000437.0,152020.0,Macerata,Marche,www.prefinitisimon.com,,,,SUCCESSO,200.0
TRE BI - S.R.L.,238660260.0,152020.0,Treviso,Veneto,http://www.tre-bi.it,,,,SUCCESSO,200.0
CONCERIA CARAVAGGIO S.R.L.,1732670508.0,151100.0,Pisa,Toscana,www.conceriacaravaggio.it,,,,SUCCESSO,200.0
CONCERIA CAPONI GIUSEPPE & C. S.R.L.,1162340507.0,151100.0,Pisa,Toscana,www.conceriacaponigiuseppe.it,,,,SUCCESSO,200.0
CONCERIA PUCCINI ATTILIO S.R.L.,974020505.0,151100.0,Pisa,Toscana,www.conceriapuccini.com,,,,SUCCESSO,200.0
ERCOLI S.R.L.,1063150443.0,152010.0,Fermo,Marche,www.vittorioercoli.it,,,,ERRORE,
RUCOLINE S.R.L.,1820620548.0,152010.0,Perugia,Umbria,www.rucoline.com,,,,SUCCESSO,200.0
CALZATURIFICIO BELLOFATTO AIMONE S.R.L. .,851340505.0,152010.0,Pisa,Toscana,www.calzaturificiobellofatto.it,,,,SUCCESSO,200.0
CONCERIA NUOVA GRENOBLE - S.R.L.,1038650501.0,151100.0,Pisa,Toscana,www.pellealvegetale.it/concerie/nuova-grenoble/,,,,SUCCESSO,200.0
S.R.L. CALZATURIFICIO BELLO',3182310270.0,152010.0,Venezia,Veneto,www.calzaturificiobello.it,,,,SUCCESSO,200.0
OPTIMA MOLLITER SRL,1702040443.0,152010.0,Macerata,Marche,www.molliter.com,,,,SUCCESSO,200.0
FRANZINI S.R.L.,1822880231.0,152010.0,Verona,Veneto,franzini.eu,,,,SUCCESSO,200.0
EUROPELL S.R.L.,4410780482.0,151100.0,Firenze,Toscana,www.europellsrl.it,,,,SUCCESSO,200.0
DORA' S.R.L.,2700060243.0,151100.0,Vicenza,Veneto,www.doraonline.it,,,,SUCCESSO,200.0
CDIVERTIAMO S.R.L.,4175250275.0,152010.0,Venezia,Veneto,www.cdivertiamo.com,,,,SUCCESSO,200.0
CONCERIA TRE EFFE S.R.L.,653080507.0,151100.0,Pisa,Toscana,treeffegroup.it,,,,SUCCESSO,200.0
ROC CONCIARIA SRL,1659660441.0,151100.0,Fermo,Marche,www.rocpellami.com,,,,TIMEOUT,
GSB SRL,2122140441.0,152020.0,Fermo,Marche,www.gsbsrl.it,,,,SUCCESSO,200.0
SEIPO SRL,892920885.0,151100.0,Ragusa,Sicilia,www.seipo.it,,,,SUCCESSO,200.0
PELLETTERIA 2B S.R.L.,5935650480.0,151209.0,Firenze,Toscana,www.leatherluxury.it,,,,SUCCESSO,200.0
CONCERIA NUOVA LEON S.R.L.,2036350243.0,151100.0,Vicenza,Veneto,www.nuovaleon.com,,,,SUCCESSO,200.0
DREAMPELL S.R.L.,5147360480.0,151209.0,Firenze,Toscana,www.dreampell.it,,,,SUCCESSO,200.0
DOGI INTERNATIONAL SRL,3694960240.0,151100.0,Vicenza,Veneto,www.dogiinternational.com,,,,SUCCESSO,200.0
MAXI SUOLA S.R.L.,2003790405.0,152020.0,Forlì-Cesena,Emilia-Romagna,www.maxisuola.it/,,,,SUCCESSO,200.0
BONAUDO CONTI S.P.A.,227050168.0,151100.0,Milano,Lombardia,http://www.conceriaconti.biz,,,,SUCCESSO,200.0
FRU.IT S.R.L.,1916310442.0,152010.0,Fermo,Marche,www.fru.it,,,,SUCCESSO,200.0
CALZATURIFICIO DI GIUSEPPE S.R.L.,2737321212.0,152010.0,Napoli,Campania,www.digiuseppe.it,,,,SUCCESSO,200.0
CONCERIA LUFRAN S.R.L.,1339930503.0,151100.0,Firenze,Toscana,concerialufran.it,,,,SUCCESSO,200.0
M & M CALZATURIFICIO S.R.L.,3402740264.0,152010.0,Treviso,Veneto,www.wildsideshoes.com,,,,ERRORE,
BERVICATO S.R.L.,8073071212.0,152010.0,Caserta,Campania,www.bervicato.com,,,,SUCCESSO,200.0
CONCERIA A TEMA SRL,1888960505.0,151100.0,Pisa,Toscana,www.a-tema.com,,,,SUCCESSO,200.0
CALZATURIFICIO COSMO S.R.L.,113410500.0,152010.0,Pisa,Toscana,calzaturificiocosmo.it,,,,SUCCESSO,200.0
SUOLIFICIO SQUADRONI SRL,470060443.0,152020.0,Fermo,Marche,www.squadroni.info,,,,SUCCESSO,200.0
VALIGERIA TASCA ATTILIO S.R.L.,2135770127.0,151209.0,Varese,Lombardia,valigeriatasca.com,,,,TIMEOUT,
ELLEGI PELLAMI S.P.A. SOCIETA' BENEFIT,1384180509.0,151100.0,Pisa,Toscana,www.ellegipellami.it,,,,SUCCESSO,200.0
LACCHIPLAST S.R.L.,1965150541.0,152010.0,Perugia,Umbria,www.lacchiplast.it,,,,SUCCESSO,200.0
CLASSIC LEATHER ITALIA SOCIETA' A RESPONSABILITA' LIMITATA,6374240486.0,151100.0,Firenze,Toscana,www.classicleatheritalia.com,,,,SUCCESSO,200.0
MASTERTAN S.R.L.,2343390643.0,151100.0,Avellino,Campania,www.mastertan.com,,,,SUCCESSO,200.0
CONCERIA BRUTTOMESSO S.R.L.,519060248.0,151100.0,Vicenza,Veneto,www.conceriabruttomesso.it,,,,SUCCESSO,200.0
CAPARRINI S.R.L.,4091300485.0,152010.0,Firenze,Toscana,http://www.caparrini.it,,,,SUCCESSO,200.0
COMART S.R.L. UNIPERSONALE,1680220447.0,152010.0,Fermo,Marche,www.comartshoes.it,,,,SUCCESSO,200.0
I.S.G. ITALIAN STYLISTIC GROUP S.R.L.,1674230162.0,151200.0,Bergamo,Lombardia,guidoangeloni.com,,,,SUCCESSO,200.0
CALZATURIFICIO STRAFFORD S.R.L.,1943300275.0,152010.0,Venezia,Veneto,www.straffordshoes.com,,,,ERRORE,
CALPIERRE S.R.L.,1391091210.0,152010.0,Napoli,Campania,www.calpierre.it,,,,SUCCESSO,200.0
CONCERIA F.3 INT'L S.R.L.,2639420641.0,151100.0,Avellino,Campania,www.conceriaf3.com,,,,SUCCESSO,200.0
DESIGN LAB ITALIA S.R.L. UNIPERSONALE,1902690443.0,152010.0,Fermo,Marche,www.designlabitalia.com,,,,SUCCESSO,200.0
SANTIPEL S.R.L.,4128780485.0,151209.0,Firenze,Toscana,santipel.com,,,,SUCCESSO,200.0
ASSIA TREND SRL,1723140446.0,152010.0,Fermo,Marche,http://www.assiatrend.it,,,,SUCCESSO,200.0
EXTON S.R.L.,3351470616.0,152010.0,Caserta,Campania,exton.it,,,,SUCCESSO,200.0
REPORTAGE S.R.L.,399530443.0,152010.0,Fermo,Marche,www.torresi.it,,,,SUCCESSO,200.0
LOMER S.R.L.,1130840265.0,152010.0,Treviso,Veneto,www.lomer.it,,,,SUCCESSO,200.0
CALZATURIFICIO SANDY SHOES S.R.L.,1500800469.0,152010.0,Lucca,Toscana,sandyshoes.it,,,,SUCCESSO,200.0
CALZATURIFICIO FARIDA S.R.L.,118220524.0,152010.0,Siena,Toscana,www.farida.it,,,,SUCCESSO,200.0
SUOLIFICIO MANNINI ROMANO S.R.L.,734230444.0,152020.0,Fermo,Marche,suolificiomannini.it,,,,SUCCESSO,200.0
CALZATURIFICIO GRO NELL S.R.L.,2087580235.0,152010.0,Verona,Veneto,www.gronell.it,,,,SUCCESSO,200.0
FREMILLU' CALZATURE S.R.L.,5444821218.0,152010.0,Napoli,Campania,giannidelprete.it,,,,SUCCESSO,200.0
C.B.R. TACSTILE S.R.L.,2330620408.0,152010.0,Forlì-Cesena,Emilia-Romagna,www.cbr-tacstile.com,,,,SUCCESSO,404.0
CONCIARIA MONDOVI' S.R.L.,2791980044.0,151100.0,Cuneo,Piemonte,conciariamondovi.com,,,,SUCCESSO,200.0
MEDIKA ITALIA S.R.L.,2062730235.0,152000.0,Verona,Veneto,www.medikaitalia.it,,,,ERRORE,
YOBEL S.R.L.,5312840480.0,151209.0,Firenze,Toscana,www.pelletteriayobel.it,,,,SUCCESSO,200.0
FARBOPELLI S.R.L.,3288050242.0,151100.0,Vicenza,Veneto,www.farbopelli.it,,,,SUCCESSO,200.0
CALZATURIFICIO LOISI S.R.L,1824490500.0,152010.0,Pisa,Toscana,www.loisishoes.it,,,,SUCCESSO,200.0
TECNOPELLI S.R.L.,876610247.0,151100.0,Vicenza,Veneto,http://www.tecnopelli.com,,,,ERRORE,
CALZATURIFICIO PANIZZOLO ANTONIO S.R.L.,2872360272.0,152010.0,Venezia,Veneto,http://www.panizzoloantonio.com,,,,SUCCESSO,503.0
PANTOFOLA D'ORO SPA,1427260672.0,152010.0,Ascoli Piceno,Marche,www.pantofoladoro.com,,,,SUCCESSO,200.0
PLINIO VISONA' S.R.L.,1314910249.0,151209.0,Vicenza,Veneto,pliniovisona.com,,,,SUCCESSO,200.0
BLUDUE S.R.L.,4370701213.0,151209.0,Napoli,Campania,www.bludue.com,,,,ERRORE,
MAFFEI33 S.R.L.,2917260644.0,151100.0,Milano,Lombardia,www.maffei33.it,,,,SUCCESSO,200.0
SATY S.R.L.,2350380248.0,152010.0,Vicenza,Veneto,www.bioline-saty.it,,,,SUCCESSO,200.0
