Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website
P. & C. S.R.L.,04249361215,151209,Napoli,Campania,pec-srl.it
SIVA SOCIETA' A RESPONSABILITA' LIMITATA,02704040423,152010,Ancona,Marche,rbrsl.com
INDUSTRIA CONCIARIA EUROPA S.P.A. IN SIGLA I.C.E. S.P.A.,02033880242,151100,Vicenza,Veneto,iceleatherspa.com
ERREUNO S.R.L.,01573520432,151209,Macerata,Marche,erreuno.com
CONCERIA PALLADIO S.P.A.,02220950246,151100,Vicenza,Veneto,www.conceriapalladio.it
HUGO BOSS SHOES & ACCESSORIES ITALIA S.P.A.,00627910433,152010,Macerata,Marche,www.hugoboss.com
OLANG S.P.A.,01910710266,152010,Treviso,Veneto,www.olang.it
CALZATURIFICIO MADAF S.R.L.,00340830470,152000,Pistoia,Toscana,http://www.calzaturificiomadaf.it
GEM S.R.L.,01910570504,152010,Pisa,Toscana,www.neroh.it
CALZATURIFICIO MEXAS S.R.L.,00934140294,152010,Rovigo,Veneto,http://www.mexas.it
MAMIR S.R.L.,02217850987,152010,Brescia,Lombardia,www.mamir.it
ART LAB S.R.L.,02102500507,151100,Pisa,Toscana,www.artlabsrl.eu
SNAM DI MARCIGAGLIA ANTONIO & C. S.R.L.,01778050243,151100,Vicenza,Veneto,www.snamsrl.it
CONCERIA ERREPI S.R.L.,00540160249,151100,Vicenza,Veneto,www.conceriaerrepi.com
BONISTALLI & STEFANELLI S.P.A.,00114440506,151100,Pisa,Toscana,www.bonistallistefanelli.it
DIGIERRE MODA S.R.L.,05662461218,152010,Napoli,Campania,www.digierremoda.it
CALZATURIFICIO LUPARENSE S.R.L.,09607810158,152000,Padova,Veneto,luparense.net
DANESI EVOLUTION S.R.L.,01152650527,151209,Siena,Toscana,www.danesievolution.it
CONCERIA ZABRI S.P.A.,04147490488,151100,Firenze,Toscana,www.zabri.it
PELLETTERIE HAPPENING S.R.L.,02077180483,151209,Firenze,Toscana,www.leatherluxury.it/it/dett/122/pelletteria-happening/
SUOLIFICIO ELEFANTE S.R.L.,00367720430,152020,Macerata,Marche,http://www.elefantesuolificio.it
ALMINI S.R.L.,01164230185,152010,Pavia,Lombardia,www.almini.com
PEZZOL INDUSTRIES S.R.L.,00269260725,152010,Barletta-Andria-Trani,Puglia,www.pezzol.com
CALZATURIFICIO MARUSKA - S.R.L.,00493560502,152010,Pisa,Toscana,www.maruska.it
BARBAROSA SRL,02030670281,152010,Padova,Veneto,www.antoniobarbato.store
FORMABOOTS S.P.A.,06729650967,152010,Treviso,Veneto,www.formaboots.com
MARCHETTO PELLAMI S.P.A.,00980470298,151100,Roma,Lazio,marchettopellami.com
CONCERIA 800 S.P.A.,00113450506,151100,Pisa,Toscana,conceria800.it
CONCERIA MASINI S.P.A.,01922320500,151100,Pisa,Toscana,gruppoconceriemasini.com
CALZATURIFICIO ELKA SRL,02447050754,152010,Lecce,Puglia,www.grazianomaggio.com
PROPEL S.R.L.,01833240474,151209,Firenze,Toscana,www.propel.it
DMD SOLOFRA S.P.A.,00261660641,151100,Avellino,Campania,www.dmdsolofra.it
FTG SAFETY SHOES S.R.L.,00152390241,152010,Vicenza,Veneto,www.ftg-safety.com
RAFF S.R.L.,02066230240,151100,Vicenza,Veneto,www.wetblueraff.com
CALZATURIFICIO MODA ITALIANA SRL,02335940397,152010,Ravenna,Emilia-Romagna,www.modaita.it
CONCERIA IL CIGNO S.R.L.,00114880503,151100,Pisa,Toscana,conceriailcigno.com
EFFEMME SOCIETA' A RESPONSABILITA' LIMITATA ENUNCIABILE ANCHE EFFEMME S.R.L.,01192170445,152010,Fermo,Marche,effemme.it
MARA BINI S.R.L.,02223770286,152000,Padova,Veneto,mara-bini.it
CONCERIA BENETTI S.R.L.,00163130248,151100,Vicenza,Veneto,http://www.conceriabenetti.com
FRASSINETI S.R.L.,02338430487,151200,Firenze,Toscana,www.lafrassineti.it
O-THREE S.R.L.,03760900260,152010,Treviso,Veneto,www.o-three.eu
ANGELA S.R.L.,07837871214,151209,Napoli,Campania,www.angelasrl.com
TRIO S.R.L.,01620680445,151100,Fermo,Marche,www.trio-italia.it
ERREPLUS SADDLERY S.R.L.,03768550240,151200,Vicenza,Veneto,www.erreplus.us
CONCERIA BELVEDERE S.R.L.,03742800240,151100,Vicenza,Veneto,http://www.conceriabelvedere.com
LUNA S.R.L.,01274180445,152010,Fermo,Marche,www.lunashoes.it
PRODOTTI ALFA S.R.L.,00174390187,151100,Pavia,Lombardia,prodottialfa.eu
ROCES - S.R.L.,00301810263,152010,Treviso,Veneto,www.roces.com
LEATHERLINE INTERNATIONAL S.R.L.,03793570247,151100,Vicenza,Veneto,www.leatherlinesrl.it
THIKEM S.R.L.,01479820506,151100,Vicenza,Veneto,www.thimeco.it
CANAPE' S.R.L.,04697580720,152010,Barletta-Andria-Trani,Puglia,www.canapecalzature.it
CALZATURIFICIO ILARIA S.R.L.,00884030529,152010,Siena,Toscana,www.ilariasrl.com
CONCERIA BERTINI FRANCO 1972 S.R.L.,00443510508,151100,Pisa,Toscana,www.conceriabertini.it
S.I.L.C.E.A. SOCIETA' INDUSTRIALE LAVORAZIONE CUOIO E AFFINI SOC. A R.L.,00143720407,152020,Forlì-Cesena,Emilia-Romagna,www.silcea.com
ARSENALE 5 S.R.L.,04270080262,152010,Treviso,Veneto,www.panchic.it
CALZATURIFICIO AUGUSTA S.R.L.,00319690509,152000,Pisa,Toscana,http://www.augustashoes.it
CALZATURIFICIO STEPHEN S.R.L.,02168400246,152010,Vicenza,Veneto,stephen.it
D.L. LEATHER S.R.L.,04005870656,151100,Salerno,Campania,www.dlleather.it
METAL SERVICE S.R.L.,00779450675,151209,Teramo,Abruzzo,www.metalservice.net
GINS S.R.L.,04195790482,151209,Firenze,Toscana,www.lustampa.it
CALZATURIFICIO ANTIS S.R.L.,00486590268,152010,Treviso,Veneto,www.antis.it
GUIDI 1896 S.R.L.,01235040472,152010,Pistoia,Toscana,www.guidirosellini.com
CONCATO GILBERTO SRL,02650780246,151100,Vicenza,Veneto,www.concatogilberto.com
GIRZA S.R.L.,02031590231,152010,Verona,Veneto,zencalzature.it
STOKTON SRL,01118700473,152010,Pistoia,Toscana,stokton.it
WHITE LINE S.R.L.,02190221206,151100,Milano,Lombardia,whiteline.it
RADAR LEATHER DIVISION S.R.L. SIGLA RADAR SRL,03832860484,151209,Firenze,Toscana,www.radar1957.it
TIGLIO 2000 - S.R.L.,00994330504,152010,Pisa,Toscana,www.tiglioshoes.it
DEL VACCHIO LEATHER DIFFUSION SOCIETA' A RESPONSABILITA' LIMITATA IN ABBREVIAZIONE DEL VACCHIO LEATHER DIFFUSION S.R.L.,01993760642,151100,Avellino,Campania,www.delvacchioleather.it
BANTI SOCIETA' COMMERCIALE S.R.L. IN LIQUIDAZIONE,01130200502,151100,Pisa,Toscana,www.conceriaalaska.it
JELKOM S.R.L.,02043360979,152010,Prato,Toscana,www.jelkom.com
CALZATURIFICIO VALBRENTA S.R.L.,00791230279,152010,Venezia,Veneto,www.calzaturificiovalbrenta.com
TEMPESTI S.P.A.,01077790507,151100,Pisa,Toscana,www.tempesti.com
NUOVA ANTILOPE S.R.L.,01376950505,151100,Pisa,Toscana,www.nuovaantilope.it
SUOLIFICIO DEL PAPA S.R.L.,00918390436,152020,Macerata,Marche,www.delpapa.com
CALZATURIFICIO BALDAN 88 S.R.L.,02357750278,152010,Venezia,Veneto,http://www.baldan.it
ANNAPAOLA S.R.L.,03573500752,152010,Lecce,Puglia,www.denirobootco.com
CALZATURIFICIO GIORGIO FABIANI S.R.L.,01505960441,152010,Fermo,Marche,www.giorgiofabiani.it
PERWANGER S.R.L.,02387290212,151100,Bolzano/Bozen,Trentino-Alto Adige,perwangerleather.com
CALZATURIFICIO LUCA GROSSI S.R.L.,00954790473,152010,Pistoia,Toscana,www.lucagrossi.store
CONCERIA JUNIOR -S.P.A.,00142210244,151100,Vicenza,Veneto,conceriajunior.it
CESPO S.R.L.,04943901217,152010,Napoli,Campania,www.calzaturificiocespo.com
EXCLUSIVE S.R.L.,01710430511,152010,Arezzo,Toscana,m.exclusivesrl.com
CALZATURIFICIO ANGELO COPPOLA S.R.L.,05014910961,152010,Milano,Lombardia,www.angelocoppola.eu
MANIFATTURE IL FARO S.R.L.,00223440504,152010,Pisa,Toscana,www.manifattureilfaro.it
MARCO SHOES S.R.L.,01712230505,152020,Pisa,Toscana,www.marcoshoes.it
DIEMME FASHION GROUP SRL,04550470266,152010,Treviso,Veneto,www.calzaturificiodiemme.it
CALZATURIFICIO BRUNATE SPA,02193780133,152000,Como,Lombardia,www.calzaturificiobrunate.it
DANIMARC S.R.L.,01411490509,152010,Pisa,Toscana,www.danimarc.it
MIRIAL SOCIETA' A RESPONSABILITA' LIMITATA ALTRIMENTI ENUNCIABILE MIRIAL S.R.L.,01689330445,152010,Fermo,Marche,http://mirial-srl.business.site
PELLETTERIA FIORENTINA MONTECRISTO S.R.L.,06655690482,151209,Firenze,Toscana,pelletteriafiorentinamontecristo.it
ANTICA CUOIERIA GRG SRL,01252650443,152020,Fermo,Marche,www.grganticacuoieria.it
HENDERSON S.R.L.,02005720285,152010,Padova,Veneto,www.hendersonbaracco.com
VITTORIO VIRGILI S.R.L.,00757210448,152010,Fermo,Marche,www.vittoriovirgili.com
CONCERIA MILANESE S.P.A.,07502850154,151100,Milano,Lombardia,www.conceriamilanese.it
CONCERIA SABRINA S.R.L.,03601150240,151100,Vicenza,Veneto,www.conceriasabrina.com
EVERYN S.R.L.,01455470508,152010,Pisa,Toscana,www.calzaturificioeveryn.it
ANTARES SRL,04062950243,151100,Vicenza,Veneto,www.antares3.it
TACCHIFICIO DI MOLINELLA S.P.A.,00580401206,152010,Bologna,Emilia-Romagna,www.tacchificiomolinella.it
STRATEGIA SOCIETA' A RESPONSABILITA' LIMITATA ENUNCIABILE ANCHE STRATEGIA S.R.L.,01146180433,152010,Macerata,Marche,www.strategiashoes.com
FIRENZE MODA S.R.L.,00912410487,151209,Firenze,Toscana,www.firenzemodasrl.it
ELDA TRADE SRL .,01006570434,151200,Macerata,Marche,www.gianniconti.com
DOMINA S.R.L.,01308660503,152010,Firenze,Toscana,www.dominashoes.com
DIOTTO S.R.L.,04704790262,152010,Treviso,Veneto,www.diotto.com
MARCHESINI S.R.L.,02174170239,152010,Verona,Veneto,www.marchesinicalzature.com
SCAMOSCERIA ASTICO SRL,00147470249,151100,Vicenza,Veneto,astico.com
MIAMI SRL,00996700431,152020,Macerata,Marche,www.miamisrl.co
CONCERIA AMBASSADOR - S.P.A.,01027140506,151100,Pisa,Toscana,www.ambassadorconceria.it
ARKIMEDIA S.R.L.,02607930282,151209,Padova,Veneto,arkimediagroup.it
TIGAMARO S.R.L,01560111005,151209,Macerata,Marche,www.tigamaro.it
CHIORINO VENETO S.R.L.,01889470264,151100,Treviso,Veneto,www.chiorino.com
CONCERIA U.RUSSO S.R.L.,01970610638,151100,Napoli,Campania,www.umbertorusso.it
CESARE MARTINOLI - CAIMAR S.R.L. O PER BREVITA' CAIMAR S.R.L.,00182320184,152010,Pavia,Lombardia,cesaremartinoli.it
CONCERIA FRACCA S.R.L.,03645720248,151100,Vicenza,Veneto,fracca.net
ITAL LEATHER SOURCE S.R.L.,03578480240,151100,Vicenza,Veneto,www.italleathersource.it
MOFRA SHOES S.R.L.,04262310727,152010,Barletta-Andria-Trani,Puglia,www.2star.it
CALZATURIFICIO EFFE TRE S.R.L.,01151070263,152010,Treviso,Veneto,www.effetresrl.it
ONLY LEATHER S.R.L.,05023080483,151209,Firenze,Toscana,www.onlyleathersrl.com
JACO PELLAMI SRL,03349330237,151100,Verona,Veneto,www.jacopellami.it
PODARTIS SRL,03669600268,152010,Treviso,Veneto,www.podartis.it
GRUPPO FRANGIPANI S.R.L.,01976020519,151209,Arezzo,Toscana,http://www.gruppofrangipani.it
NOPE S.R.L.,03843310248,151100,Vicenza,Veneto,www.nopeleather.it
MAPEL COMPONENTS S.R.L.,01884090125,151209,Varese,Lombardia,www.mapeltextile.com
CONCERIA MARCO POLO S.R.L.,00631810249,151100,Vicenza,Veneto,www.conceriamarcopolo.com
BIAFER S.R.L.,01786400125,152020,Varese,Lombardia,www.solettificiobiafer.it
SUOLIFICIO G.F.G. S.R.L.,00363700501,152010,Pisa,Toscana,www.suolificiogfg.it
CONCERIA CO.RI.PEL. S.P.A.,05013500482,151100,Firenze,Toscana,www.coripel.it
ARTIGIANO DEL CUOIO - S.R.L.,00993370501,151100,Pisa,Toscana,www.artigiano.it
CALZATURIFICIO GIOVANNI FABIANI S.R.L.,00966430449,152010,Fermo,Marche,http://www.fabiani.com
"CONCERIA VIGNOLA S.R.L. DI VIGNOLA GERARDINO RAFFAELE & UMBER- TO , IN ABBREVIAZIONE CONCERIA VIGNOLA S.R.L.",01902810645,151100,Milano,Lombardia,www.conceriavignola.it
CALZATURE F.LLI LOTTI S.R.L.,06328300725,152010,Barletta-Andria-Trani,Puglia,www.calzaturelotti.it
GINO FERRUZZI S.R.L.,04413110489,151209,Firenze,Toscana,www.ginoferruzzi.it
PARISINI PELLETTERIE S.R.L.,00510250376,151200,Bologna,Emilia-Romagna,www.parisinipelletterie.com
B.M. S.R.L.,01682590474,152020,Pistoia,Toscana,www.bmsrl.info
ENTERPRISE - S.R.L.,01120190507,151100,Pisa,Toscana,http://www.conceriaenterprise.it
GIDUE PELLAMI S.R.L.,03686360243,151100,Vicenza,Veneto,www.giduepellami.com
ITALBORDI SRL,04157620271,152020,Venezia,Veneto,www.italbordi.com
BRENTA SUOLE S.R.L.,00804250280,152020,Padova,Veneto,www.delbrenta.com
VEGA HOLSTER S.R.L.,01300980503,151209,Pisa,Toscana,vegaholster.com
PLABER S.R.L.,03312270246,151209,Vicenza,Veneto,www.plaber.it
MARLEATHER SRL,03738010242,151100,Vicenza,Veneto,www.marleather.com
FRATELLI GUARINO DI DONATO S.R.L.,00077660645,151100,Avellino,Campania,www.flliguarino.it
S.P.A.C. S.R.L.,00451540231,152020,Verona,Veneto,http://www.spac.it
CALZATURIFICIO PERON S.R.L.,00330560277,152010,Venezia,Veneto,www.peronshoes.it
CALBA - S.R.L.,00779810126,152010,Varese,Lombardia,http://www.calba.it
SND SRL,01903590436,152010,Macerata,Marche,www.searchndesign.com
GISER S.R.L.,07318580631,152010,Napoli,Campania,www.albano.it
ASG INTERNATIONAL S.R.L.,03655610248,151209,Vicenza,Veneto,www.asgint.com
CALZATURIFICIO MARTINI S.R.L.,01103500037,152020,Novara,Piemonte,www.calzaturificiomartini.it
CALZATURIFICIO FRATELLI VANNI S.R.L.,00125350504,152000,Pisa,Toscana,www.calzaturificiofratellivanni.it
PELLETTERIA P.A.M. - S.R.L.,00494570484,151209,Firenze,Toscana,www.pell-pam.it
CALZATURIFICIO NAVAYOS S.R.L.,00928080472,152010,Pistoia,Toscana,www.sturlini.com
EXIN GROUP - S.R.L.,05560540485,151209,Firenze,Toscana,minobossi.it
VILLA GROUP SRL,02913740961,152010,Monza e della Brianza,Lombardia,www.villagroup.net
CALZATURIFICIO PORTLAND'S S.P.A.,01238030447,152000,Fermo,Marche,www.portlands.it
CONCERIA MARTINI PIO - S.P.A.,00120650502,151100,Pisa,Toscana,http://www.martinipio.it
LEWER CALZATURE TECNICHE - S.R.L.,02874720655,152010,Salerno,Campania,www.lewer.it
CALZATURIFICIO AMBRA CAVALLINI S.R.L.,00113150502,152010,Pisa,Toscana,www.calzaturificioambra.it
EDDY RICAMI PROJECT S.R.L.,01342360433,152020,Macerata,Marche,eddyricami.it
CUOIFICIO LA QUERCE -S.R.L.,00396130502,151100,Pisa,Toscana,www.laquerce.it
CALZATURIFICIO CARISMA S.R.L.,03884170485,152010,Firenze,Toscana,www.calzcarisma.com
FRANCO ROMAGNOLI & C S.R.L.,01509060438,152010,Macerata,Marche,romagnoli.com
SOCIETE' DE CUIR LES RIVES S.R.L.,01935480507,151100,Pisa,Toscana,www.lesrivesconceria.it
CALZATURIFICIO MGT S.R.L.,00900540675,152010,Teramo,Abruzzo,http://www.calzaturificiomgt.com
ORICE - S.R.L.,00482800505,151100,Pisa,Toscana,www.orice.com
TACCHIFICIO VILLA CORTESE -S.R.L.,00810970152,152020,Milano,Lombardia,tvcgroup.it
CALZATURIFICIO VICTOR S.R.L.,04824570487,152000,Firenze,Toscana,www.calzaturificiovictor.it
VALLE ESINA - S.P.A.,00091920439,151100,Macerata,Marche,valleesina.it
STIL TRE SOCIETA' A RESPONSABILITA' LIMITATA,02906120239,152010,Verona,Veneto,www.esseutesse.it
TACCHIFICIO PIENNE S.R.L.,01448610517,152020,Arezzo,Toscana,tacchificiopienne.it
BELT SYSTEM SRL,03812350266,152010,Treviso,Veneto,www.beltsystem.it
CONCERIA JOLLY S.P.A.,00686900242,151100,Vicenza,Veneto,conceriajolly.it
LUNATIKA S.R.L.,01736630672,151209,Teramo,Abruzzo,http://www.lunatikabags.it
PRINCIPE - S.P.A.,00214410128,151209,Varese,Lombardia,www.principe.it
LOMAR LAVORAZIONE PELLI S.R.L.,02002810246,151100,Vicenza,Veneto,www.concerialomar.it
CALZATURIFICIO MICHIELON S.R.L.,00323640276,152010,Venezia,Veneto,www.lm-michielon.com
FRAGO S.R.L.,00168010437,152020,Macerata,Marche,moma.it
3 C PELLETTERIE S.R.L.,05694190488,151209,Firenze,Toscana,http://www.3cpelletterie.it
INDUSTRIA CONCIARIA MONTORSO S.R.L.,03488330246,151100,Vicenza,Veneto,www.industriaconciariamontorso.com
CONCERIA 3S S.R.L.,02149960508,151100,Pisa,Toscana,www.selispa.it
SOLAZZO CALZATURE S.R.L.,02233530183,152010,Pavia,Lombardia,https://calzaturesolazzo.it
SOLEDAN - S.R.L.,01427990401,152010,Forlì-Cesena,Emilia-Romagna,www.soledan.191.it
A22 SRL,03947580241,151100,Vicenza,Veneto,www.a22conceria.com
FASHION STUDIOS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,06783060483,151209,Firenze,Toscana,www.fashionstudios.it
DIKE SRL,05095250287,152010,Padova,Veneto,dike.works
DON DIEGO S.R.L.,01517770432,152020,Macerata,Marche,www.dondiego.net
REPTILIS SRL,01971480502,151100,Pisa,Toscana,http://www.reptilis.it
GIFAL LORENZO MONTERISI S.R.L.,07783590727,152010,Bari,Puglia,lorenzo-mari.com
CINTURIFICIO GP & MAX S.R.L.,07333400633,151209,Napoli,Campania,gpemax.com
CALZATURIFICIO NADA DI DAVIDE GABRIELE E ANTONIO S.R.L.,00165220633,152010,Napoli,Campania,www.nadacalzaturificio.it
GALILEO S.R.L.,01914960503,151100,Pisa,Toscana,www.galileosrl.eu
STADIUM S.R.L.,05143900487,151200,Firenze,Toscana,www.stadiumflorence.it
CALZATURIFICIO MARCO S.R.L.,04246290482,152010,Firenze,Toscana,http://www.grigiarancio.it
GARLAND S.R.L.,01152370522,151209,Siena,Toscana,www.garland74.it
RICCOPLAST SOCIETA' A RESPONSABILITA' LIMITATA,01971390461,152010,Lucca,Toscana,www.riccoplast.it
L.C.M. SRL,02918090156,152020,Milano,Lombardia,http://www.lcmsuolificio.it
CONCERIA SAMANTA S.R.L.,01726540501,151100,Pisa,Toscana,http://www.samanta.com/
CALZATURIFICIO ZOCAL S.R.L.,01297680280,152010,Padova,Veneto,www.zocal.com
CONCERIA LIBERTY S.R.L.,01626240509,151100,Pisa,Toscana,http://www.libertytannery.it
SCAMOSCERIA DEL BRENTA S.R.L.- INDUSTRIA CONCIARIA,00143640241,151100,Vicenza,Veneto,www.scabrenta.it
SUOLIFICIO DICK - S.R.L.,01032870477,152010,Pistoia,Toscana,www.suolificiodick.it
TM PRODUCTION SRL,02801190428,151209,Ancona,Marche,www.tmcorp.it
LUSAR S.R.L.,01244070189,152010,Pavia,Lombardia,www.calzaturificiolusar.it
UNION LEATHERS S.R.L. - SOCIETA' UNIPERSONALE,00983800293,151100,Vicenza,Veneto,www.unionleathers.com
CONCERIA SIRTE S.R.L.,01402720500,151100,Pisa,Toscana,www.conceriasirte.com
THE SPLITS SRL,03753900244,151100,Vicenza,Veneto,www.oppellami.it
ST. GERMAIN BOUTIQUE S.R.L.,01271710152,152000,Milano,Lombardia,www.guidopasquali.it
CONCERIA ARNELLA SOCIETA' PER AZIONI,00115270506,151100,Pisa,Toscana,www.arnella.it
ARES INDUSTRY S.R.L.,02354750511,151209,Arezzo,Toscana,www.arespelletteria.com
A MARE - S.R.L.,01742160433,152010,Ancona,Marche,www.amaresrl.it
PROFESSIONE PELLI S.R.L.,03742950243,151100,Vicenza,Veneto,www.professionepelli.com
TUSCANIA INDUSTRIA CONCIARIA S.P.A.,02156540482,151100,Pisa,Toscana,tuscaniaspa.it
S.C.O.R.P.I.O. S.R.L.,01950510469,152010,Lucca,Toscana,www.scorpiosrl.it
GIERRE & SON S.R.L.,04468150653,152010,Napoli,Campania,gierreandson.com
TARI S.P.A.,04763050632,151200,Napoli,Campania,www.conceria-tari.com
APEMA S.R.L.,03303551216,152010,Caserta,Campania,lerre.com
CALZATURIFICIO STATUS S.R.L.,01325250502,152010,Pisa,Toscana,www.calzaturificiostatus.it
FP SPORT SRL,03935250260,152010,Treviso,Veneto,www.fpsport.it
SHARON S.R.L.,07158970637,152010,Napoli,Campania,www.sharonsrl.it
CONCERIA VICAR S.R.L.,01586540500,151100,Pisa,Toscana,www.vicar.it
GRUPPO ZANELLATO S.R.L.,02721200240,151209,Vicenza,Veneto,www.zanellato.com
CONCERIA NUVOLARI SOCIETA' BENEFIT SRL,02013190448,151100,Fermo,Marche,www.concerianuvolari.com
CONCERIA NUOVA OVERLORD S.P.A.,00928180504,151100,Pisa,Toscana,www.concerianuovaoverlord.com
MAXIMA - S.R.L.,01883310284,152010,Padova,Veneto,www.maximaonline.it
GIUSY S.R.L.,01404650440,152010,Fermo,Marche,www.giusy.com
TECNO STRA S.R.L.,00795600279,152020,Padova,Veneto,www.tecnostra.it
MANNI - S.R.L.,01804530440,152010,Fermo,Marche,www.laramanni.it
ARIANNA S.R.L.,04132920234,151100,Verona,Veneto,www.ariannasrl.it
PONECO S.R.L.,02665230401,152010,Rimini,Emilia-Romagna,www.podoline.it
GHOUD VENICE S.R.L.,04455410276,152010,Venezia,Veneto,www.ghoud-venice.com
CONCERIA IL PONTE S.R.L.,03227970484,151100,Firenze,Toscana,www.conceriailponte.it
GIANNI FALCO S.R.L.,02215910262,152010,Treviso,Veneto,giannifalco.com
EUROCONCIARIA S.R.L.,02917550242,151100,Vicenza,Veneto,www.euroconciaria.it
BARRETT - S.R.L.,00619520349,152010,Parma,Emilia-Romagna,http://www.barrett.it
DANI E VOLPI S.R.L.,02290260500,151100,Pisa,Toscana,www.volpi.it
ANNABELLA S.P.A.,00301170445,152010,Fermo,Marche,www.annabellaspa.eu
CALZATURIFICIO VIA ROMA 15 SOCIETA' A RESPONSABILITA' LIMITATA IN SIGLA CALZATURIFICIO VIA ROMA 15 S.R.L.,03981260288,152010,Padova,Veneto,www.viaroma15.com
CONCERIA MANGUSTA S.R.L.,01341340501,151100,Pisa,Toscana,conceriamangusta.it
NUOVA ICOS SOCIETA' A RESPONSABILITA' LIMITATA,01690360647,151100,Avellino,Campania,www.nuovaicos.com
CONCERIA PIETRO PRESOT S.R.L.,00066320938,151100,Pordenone,Friuli-Venezia Giulia,www.conceriapresot.it
CAM.PEL. S.R.L.,03261191211,151200,Napoli,Campania,www.campel.net
CY CALZATURE SRL,04347520274,152020,Venezia,Veneto,cycalzature.com
SUOLIFICIO NUOVA PIOVAN MARISA S.R.L.,03749440271,152020,Venezia,Veneto,www.suolificiopiovan.it
FOGLIZZO LEATHER SOCIETA' A RESPONSABILITA' LIMITATA SIGLABILE FO GLIZZO LEATHER S.R.L.,09704610014,151100,Torino,Piemonte,http://www.foglizzo.com
CALZATURIFICIO FRATELLI CAPPELLINI S.R.L.,00107120479,152010,Pistoia,Toscana,http://www.calzaturecappellini.it
IANNELLI S.R.L.,01619020512,152020,Arezzo,Toscana,www.solettificiojannelli.com
CALZATURIFICIO MARY S.R.L.,00373940444,152000,Fermo,Marche,www.lellabaldi.com
DELLA PIA S.R.L.,07447270633,152010,Napoli,Campania,www.ucchiello.com
NOVA SHOES - S.R.L.,00924540420,152010,Macerata,Marche,http://www.novashoes.it
SIMONETTA ROSSI S.R.L.,02094850506,152010,Pisa,Toscana,www.simonettarossi.com
CALZATURIFICIO MONTEBOVE S.R.L.,00147670434,152010,Macerata,Marche,montebove.com
CALZATURIFICIO ACCADEMIA S.R.L.,01603170273,152010,Venezia,Veneto,http://www.accademiashoes.it
CONCERIA PAGNI S.R.L.,05177080487,151100,Pisa,Toscana,conceriapagni.it
CALZATURIFICIO MARCOS - S.R.L.,00092910439,152010,Macerata,Marche,www.calzaturificiomarcos.it
CALZATURIFICIO BETTIO S.R.L.,00618220289,152010,Venezia,Veneto,www.bettiosrl.it
CALZATURIFICIO EXPORTACC SRL,01275070231,152010,Verona,Veneto,www.exportacc.it
CONCERIA UPIMAR - S.R.L.,01134360500,151100,Firenze,Toscana,conceriaupimar.it
DIVINA S.R.L.,03340611213,152010,Napoli,Campania,www.divinasrl.com
PAMI' S.R.L.,01324930518,152020,Arezzo,Toscana,www.pamisrl.com
PARABIAGO COLLEZIONI SRL,12778540158,152010,Milano,Lombardia,www.thierryrabotin.shop
SUOLIFICIO ARS-SUOLA S.R.L.,00458300506,152020,Pisa,Toscana,www.ars-suola.it
ARMOND S.R.L.,04418100261,152010,Treviso,Veneto,shop.armond.com
R.E.G. SRL,01036510475,152010,Pistoia,Toscana,www.regshoes.it
CONCERIA DS DAVID SYSTEM S.R.L.,03626130243,151100,Vicenza,Veneto,http://www.conceriads.it
BLACKBOARD SRL,05706920963,152010,Milano,Lombardia,blackboard.it
DIMAR CONCERIA S.R.L.,03357690241,151100,Vicenza,Veneto,dimar.com
NORD PELLAMI S.R.L.,01821940242,151200,Vicenza,Veneto,nordpellami.com
CB PELLETTERIE SRL,00725360242,151209,Vicenza,Veneto,www.cb-pelletterie.com
PROSPERINE S.R.L.,01469510513,152010,Arezzo,Toscana,www.prosperine.it
C.P. LEATHERS S.R.L.,04317580241,151100,Vicenza,Veneto,www.cpleathers.com
CONCERIA DELLA NEVE SOCIETA' A RESPONSABILITA' LIMITATA IN ABBREVIAZIONE CONCERIA DELLA NEVE S.R.L.,00611640640,151100,Avellino,Campania,www.conceriadellaneve.it
VERDE RANA - SOCIETA' A RESPONSABILITA' LIMITATA IN FORMA ABBREVI ATA VERDE RANA - S.R.L.,05586830480,151209,Firenze,Toscana,www.verderana.it
CALZATURIFICIO SALA SRL,02267130181,152010,Pavia,Lombardia,www.salacalzature.it
SANDRO VICARI S.R.L.,01873070278,152010,Venezia,Veneto,www.sandrovicari.it
MICMAR - S.R.L.,07828990635,152010,Napoli,Campania,www.micmarshoes.it
CONCERIA CARLI S.P.A.,01033020502,151100,Pisa,Toscana,www.carliconc.net
SABIS - BISCONTI S.R.L.,01940530445,152010,Fermo,Marche,http://www.rossanobisconti.it
IL VELIERO S.R.L.,02050490503,152020,Pisa,Toscana,www.solettificioilveliero-calcinaia.it
CRISTIAN S.R.L.,00527590483,151209,Firenze,Toscana,www.cristianspa.com
CALZATURIFICIO SILVANO SASSETTI SRL,01496450444,152010,Fermo,Marche,www.silvanosassetti.it
CALZATURIFICIO NAPOLEONI S.R.L.,00909360430,152010,Macerata,Marche,www.napoleoni.it
MONTELPARE SRL,01567510449,152010,Fermo,Marche,www.andreamontelpare.com
CALANDRINI S.R.L.,00592071203,151200,Bologna,Emilia-Romagna,www.calandrini.it
AFG SRL,01884410430,152010,Macerata,Marche,www.afgitaly.com
